type,name,size,i,time,verification
search,linear,1024,4,0.000032,1
search,linear,1024,5,0.000022,1
search,linear,1024,6,0.000025,1
search,linear,1024,7,0.000024,1
search,linear,1024,8,0.000044,1
search,linear,1024,9,0.000028,1
search,linear,2048,0,0.000035,1
search,linear,2048,1,0.000028,1
search,linear,2048,2,0.000033,1
search,linear,2048,3,0.000038,1
search,linear,2048,4,0.000030,1
search,linear,2048,5,0.000045,1
search,linear,2048,6,0.000036,1
search,linear,2048,7,0.000028,1
search,linear,2048,8,0.000030,1
search,linear,2048,9,0.000032,1
search,linear,4096,0,0.000057,1
search,linear,4096,1,0.000057,1
search,linear,4096,2,0.000055,1
search,linear,4096,3,0.000054,1
search,linear,4096,4,0.000065,1
search,linear,4096,5,0.000066,1
search,linear,4096,6,0.000052,1
search,linear,4096,7,0.000051,1
search,linear,4096,8,0.000054,1
search,linear,4096,9,0.000064,1
search,linear,8192,0,0.000115,1
search,linear,8192,1,0.000085,1
search,linear,8192,2,0.000086,1
search,linear,8192,3,0.000082,1
search,linear,8192,4,0.000082,1
search,linear,8192,5,0.000079,1
search,linear,8192,6,0.000087,1
search,linear,8192,7,0.000082,1
search,linear,8192,8,0.000081,1
search,linear,8192,9,0.000085,1
search,linear,16384,0,0.000195,1
search,linear,16384,1,0.000151,1
search,linear,16384,2,0.000133,1
search,linear,16384,3,0.000132,1
search,linear,16384,4,0.000130,1
search,linear,16384,5,0.000132,1
search,linear,16384,6,0.000132,1
search,linear,16384,7,0.000131,1
search,linear,16384,8,0.000128,1
search,linear,16384,9,0.000132,1
search,linear,32768,0,0.000278,1
search,linear,32768,1,0.000225,1
search,linear,32768,2,0.000209,1
search,linear,32768,3,0.000216,1
search,linear,32768,4,0.000225,1
search,linear,32768,5,0.000214,1
search,linear,32768,6,0.000218,1
search,linear,32768,7,0.000214,1
search,linear,32768,8,0.000220,1
search,linear,32768,9,0.000210,1
search,binary,1,0,0.000002,1
search,binary,1,1,0.000003,1
search,binary,1,2,0.000002,1
search,binary,1,3,0.000003,1
search,binary,1,4,0.000002,1
search,binary,1,5,0.000002,1
search,binary,1,6,0.000003,1
search,binary,1,7,0.000002,1
search,binary,1,8,0.000003,1
search,binary,1,9,0.000002,1
search,binary,2,0,0.000002,1
search,binary,2,1,0.000002,1
search,binary,2,2,0.000002,1
search,binary,2,3,0.000003,1
search,binary,2,4,0.000003,1
search,binary,2,5,0.000002,1
search,binary,2,6,0.000002,1
search,binary,2,7,0.000002,1
search,binary,2,8,0.000003,1
search,binary,2,9,0.000002,1
search,binary,4,0,0.000003,1
search,binary,4,1,0.000003,1
search,binary,4,2,0.000004,1
search,binary,4,3,0.000003,1
search,binary,4,4,0.000004,1
search,binary,4,5,0.000004,1
search,binary,4,6,0.000004,1
search,binary,4,7,0.000004,1
search,binary,4,8,0.000003,1
search,binary,4,9,0.000003,1
search,binary,8,0,0.000004,1
search,binary,8,1,0.000004,1
search,binary,8,2,0.000004,1
search,binary,8,3,0.000004,1
search,binary,8,4,0.000002,1
search,binary,8,5,0.000004,1
search,binary,8,6,0.000004,1
search,binary,8,7,0.000004,1
search,binary,8,8,0.000003,1
search,binary,8,9,0.000003,1
search,binary,16,0,0.000003,1
search,binary,16,1,0.000005,1
search,binary,16,2,0.000004,1
search,binary,16,3,0.000005,1
search,binary,16,4,0.000004,1
search,binary,16,5,0.000004,1
search,binary,16,6,0.000005,1
search,binary,16,7,0.000005,1
search,binary,16,8,0.000004,1
search,binary,16,9,0.000005,1
search,binary,32,0,0.000003,1
search,binary,32,1,0.000005,1
search,binary,32,2,0.000004,1
search,binary,32,3,0.000004,1
search,binary,32,4,0.000005,1
search,binary,32,5,0.000005,1
search,binary,32,6,0.000004,1
search,binary,32,7,0.000002,1
search,binary,32,8,0.000004,1
search,binary,32,9,0.000005,1
search,binary,64,0,0.000003,1
search,binary,64,1,0.000005,1
search,binary,64,2,0.000004,1
search,binary,64,3,0.000004,1
search,binary,64,4,0.000003,1
search,binary,64,5,0.000005,1
search,binary,64,6,0.000005,1
search,binary,64,7,0.000003,1
search,binary,64,8,0.000005,1
search,binary,64,9,0.000005,1
search,binary,128,0,0.000003,1
search,binary,128,1,0.000003,1
search,binary,128,2,0.000005,1
search,binary,128,3,0.000004,1
search,binary,128,4,0.000005,1
search,binary,128,5,0.000004,1
search,binary,128,6,0.000005,1
search,binary,128,7,0.000004,1
search,binary,128,8,0.000005,1
search,binary,128,9,0.000005,1
search,binary,256,0,0.000003,1
search,binary,256,1,0.000004,1
search,binary,256,2,0.000003,1
search,binary,256,3,0.000004,1
search,binary,256,4,0.000004,1
search,binary,256,5,0.000005,1
search,binary,256,6,0.000004,1
search,binary,256,7,0.000005,1
search,binary,256,8,0.000006,1
search,binary,256,9,0.000006,1
search,binary,512,0,0.000004,1
search,binary,512,1,0.000005,1
search,binary,512,2,0.000004,1
search,binary,512,3,0.000005,1
search,binary,512,4,0.000005,1
search,binary,512,5,0.000005,1
search,binary,512,6,0.000005,1
search,binary,512,7,0.000005,1
search,binary,512,8,0.000004,1
search,binary,512,9,0.000005,1
search,binary,1024,0,0.000005,1
search,binary,1024,1,0.000005,1
search,binary,1024,2,0.000005,1
search,binary,1024,3,0.000005,1
search,binary,1024,4,0.000005,1
search,binary,1024,5,0.000005,1
search,binary,1024,6,0.000006,1
search,binary,1024,7,0.000006,1
search,binary,1024,8,0.000005,1
search,binary,1024,9,0.000004,1
search,binary,2048,0,0.000005,1
search,binary,2048,1,0.000005,1
search,binary,2048,2,0.000004,1
search,binary,2048,3,0.000006,1
search,binary,2048,4,0.000005,1
search,binary,2048,5,0.000005,1
search,binary,2048,6,0.000005,1
search,binary,2048,7,0.000006,1
search,binary,2048,8,0.000005,1
search,binary,2048,9,0.000005,1
search,binary,4096,0,0.000004,1
search,binary,4096,1,0.000005,1
search,binary,4096,2,0.000006,1
search,binary,4096,3,0.000004,1
search,binary,4096,4,0.000004,1
search,binary,4096,5,0.000005,1
search,binary,4096,6,0.000006,1
search,binary,4096,7,0.000006,1
search,binary,4096,8,0.000006,1
search,binary,4096,9,0.000005,1
search,binary,8192,0,0.000005,1
search,binary,8192,1,0.000003,1
search,binary,8192,2,0.000005,1
search,binary,8192,3,0.000005,1
search,binary,8192,4,0.000005,1
search,binary,8192,5,0.000005,1
search,binary,8192,6,0.000004,1
search,binary,8192,7,0.000004,1
search,binary,8192,8,0.000005,1
search,binary,8192,9,0.000005,1
search,binary,16384,0,0.000005,1
search,binary,16384,1,0.000004,1
search,binary,16384,2,0.000005,1
search,binary,16384,3,0.000004,1
search,binary,16384,4,0.000005,1
search,binary,16384,5,0.000005,1
search,binary,16384,6,0.000003,1
search,binary,16384,7,0.000004,1
search,binary,16384,8,0.000004,1
search,binary,16384,9,0.000004,1
search,binary,32768,0,0.000005,1
search,binary,32768,1,0.000004,1
search,binary,32768,2,0.000004,1
search,binary,32768,3,0.000004,1
search,binary,32768,4,0.000004,1
search,binary,32768,5,0.000004,1
search,binary,32768,6,0.000004,1
search,binary,32768,7,0.000004,1
search,binary,32768,8,0.000004,1
search,binary,32768,9,0.000004,1
sorting,native,1,0,0.000003,1
sorting,native,1,1,0.000001,1
sorting,native,1,2,0.000002,1
sorting,native,1,3,0.000002,1
sorting,native,1,4,0.000001,1
sorting,native,1,5,0.000001,1
sorting,native,1,6,0.000002,1
sorting,native,1,7,0.000001,1
sorting,native,1,8,0.000002,1
sorting,native,1,9,0.000002,1
sorting,native,1,10,0.000001,1
sorting,native,1,11,0.000002,1
sorting,native,2,0,0.000002,1
sorting,native,2,1,0.000002,1
sorting,native,2,2,0.000002,1
sorting,native,2,3,0.000002,1
sorting,native,2,4,0.000002,1
sorting,native,2,5,0.000002,1
sorting,native,2,6,0.000002,1
sorting,native,2,7,0.000002,1
sorting,native,2,8,0.000002,1
sorting,native,2,9,0.000002,1
sorting,native,2,10,0.000002,1
sorting,native,2,11,0.000002,1
sorting,native,4,0,0.000002,1
sorting,native,4,1,0.000003,1
sorting,native,4,2,0.000003,1
sorting,native,4,3,0.000002,1
sorting,native,4,4,0.000002,1
sorting,native,4,5,0.000002,1
sorting,native,4,6,0.000002,1
sorting,native,4,7,0.000002,1
sorting,native,4,8,0.000004,1
sorting,native,4,9,0.000002,1
sorting,native,4,10,0.000002,1
sorting,native,4,11,0.000002,1
sorting,native,8,0,0.000003,1
sorting,native,8,1,0.000003,1
sorting,native,8,2,0.000003,1
sorting,native,8,3,0.000003,1
sorting,native,8,4,0.000002,1
sorting,native,8,5,0.000002,1
sorting,native,8,6,0.000002,1
sorting,native,8,7,0.000002,1
sorting,native,8,8,0.000003,1
sorting,native,8,9,0.000002,1
sorting,native,8,10,0.000002,1
sorting,native,8,11,0.000002,1
sorting,native,16,0,0.000003,1
sorting,native,16,1,0.000004,1
sorting,native,16,2,0.000005,1
sorting,native,16,3,0.000002,1
sorting,native,16,4,0.000003,1
sorting,native,16,5,0.000002,1
sorting,native,16,6,0.000002,1
sorting,native,16,7,0.000002,1
sorting,native,16,8,0.000002,1
sorting,native,16,9,0.000002,1
sorting,native,16,10,0.000002,1
sorting,native,16,11,0.000003,1
sorting,native,32,0,0.000005,1
sorting,native,32,1,0.000006,1
sorting,native,32,2,0.000006,1
sorting,native,32,3,0.000002,1
sorting,native,32,4,0.000002,1
sorting,native,32,5,0.000002,1
sorting,native,32,6,0.000002,1
sorting,native,32,7,0.000002,1
sorting,native,32,8,0.000002,1
sorting,native,32,9,0.000001,1
sorting,native,32,10,0.000002,1
sorting,native,32,11,0.000002,1
sorting,native,64,0,0.000012,1
sorting,native,64,1,0.000011,1
sorting,native,64,2,0.000011,1
sorting,native,64,3,0.000010,1
sorting,native,64,4,0.000010,1
sorting,native,64,5,0.000008,1
sorting,native,64,6,0.000002,1
sorting,native,64,7,0.000003,1
sorting,native,64,8,0.000003,1
sorting,native,64,9,0.000002,1
sorting,native,64,10,0.000002,1
sorting,native,64,11,0.000002,1
sorting,native,128,0,0.000023,1
sorting,native,128,1,0.000023,1
sorting,native,128,2,0.000023,1
sorting,native,128,3,0.000020,1
sorting,native,128,4,0.000020,1
sorting,native,128,5,0.000019,1
sorting,native,128,6,0.000003,1
sorting,native,128,7,0.000003,1
sorting,native,128,8,0.000003,1
sorting,native,128,9,0.000003,1
sorting,native,128,10,0.000003,1
sorting,native,128,11,0.000003,1
sorting,native,256,0,0.000051,1
sorting,native,256,1,0.000050,1
sorting,native,256,2,0.000049,1
sorting,native,256,3,0.000047,1
sorting,native,256,4,0.000045,1
sorting,native,256,5,0.000045,1
sorting,native,256,6,0.000005,1
sorting,native,256,7,0.000004,1
sorting,native,256,8,0.000005,1
sorting,native,256,9,0.000005,1
sorting,native,256,10,0.000005,1
sorting,native,256,11,0.000005,1
sorting,native,512,0,0.000110,1
sorting,native,512,1,0.000120,1
sorting,native,512,2,0.000106,1
sorting,native,512,3,0.000102,1
sorting,native,512,4,0.000101,1
sorting,native,512,5,0.000102,1
sorting,native,512,6,0.000080,1
sorting,native,512,7,0.000055,1
sorting,native,512,8,0.000052,1
sorting,native,512,9,0.000007,1
sorting,native,512,10,0.000007,1
sorting,native,512,11,0.000008,1
sorting,native,1024,0,0.000249,1
sorting,native,1024,1,0.000229,1
sorting,native,1024,2,0.000239,1
sorting,native,1024,3,0.000213,1
sorting,native,1024,4,0.000210,1
sorting,native,1024,5,0.000213,1
sorting,native,1024,6,0.000196,1
sorting,native,1024,7,0.000152,1
sorting,native,1024,8,0.000172,1
sorting,native,1024,9,0.000021,1
sorting,native,1024,10,0.000014,1
sorting,native,1024,11,0.000013,1
sorting,native,2048,0,0.000472,1
sorting,native,2048,1,0.000453,1
sorting,native,2048,2,0.000461,1
sorting,native,2048,3,0.000486,1
sorting,native,2048,4,0.000474,1
sorting,native,2048,5,0.000447,1
sorting,native,2048,6,0.000340,1
sorting,native,2048,7,0.000335,1
sorting,native,2048,8,0.000358,1
sorting,native,2048,9,0.000026,1
sorting,native,2048,10,0.000025,1
sorting,native,2048,11,0.000025,1
sorting,native,4096,0,0.000967,1
sorting,native,4096,1,0.000903,1
sorting,native,4096,2,0.000916,1
sorting,native,4096,3,0.000904,1
sorting,native,4096,4,0.000890,1
sorting,native,4096,5,0.000883,1
sorting,native,4096,6,0.000786,1
sorting,native,4096,7,0.000783,1
sorting,native,4096,8,0.000783,1
sorting,native,4096,9,0.000377,1
sorting,native,4096,10,0.000399,1
sorting,native,4096,11,0.000376,1
sorting,native,8192,0,0.001795,1
sorting,native,8192,1,0.001851,1
sorting,native,8192,2,0.001877,1
sorting,native,8192,3,0.001904,1
sorting,native,8192,4,0.001812,1
sorting,native,8192,5,0.001794,1
sorting,native,8192,6,0.001699,1
sorting,native,8192,7,0.001670,1
sorting,native,8192,8,0.001687,1
sorting,native,8192,9,0.001083,1
sorting,native,8192,10,0.001064,1
sorting,native,8192,11,0.001057,1
sorting,native,16384,0,0.003723,1
sorting,native,16384,1,0.003730,1
sorting,native,16384,2,0.003702,1
sorting,native,16384,3,0.003742,1
sorting,native,16384,4,0.003697,1
sorting,native,16384,5,0.003746,1
sorting,native,16384,6,0.003570,1
sorting,native,16384,7,0.003553,1
sorting,native,16384,8,0.003605,1
sorting,native,16384,9,0.002780,1
sorting,native,16384,10,0.002686,1
sorting,native,16384,11,0.002719,1
sorting,native,32768,0,0.007529,1
sorting,native,32768,1,0.007492,1
sorting,native,32768,2,0.007729,1
sorting,native,32768,3,0.007547,1
sorting,native,32768,4,0.007398,1
sorting,native,32768,5,0.007445,1
sorting,native,32768,6,0.007372,1
sorting,native,32768,7,0.007441,1
sorting,native,32768,8,0.007432,1
sorting,native,32768,9,0.006453,1
sorting,native,32768,10,0.006477,1
sorting,native,32768,11,0.006444,1
sorting,insertion,1,0,0.000006,1
sorting,insertion,1,1,0.000002,1
sorting,insertion,1,2,0.000002,1
sorting,insertion,1,3,0.000003,1
sorting,insertion,1,4,0.000002,1
sorting,insertion,1,5,0.000001,1
sorting,insertion,1,6,0.000001,1
sorting,insertion,1,7,0.000002,1
sorting,insertion,1,8,0.000001,1
sorting,insertion,1,9,0.000002,1
sorting,insertion,1,10,0.000001,1
sorting,insertion,1,11,0.000002,1
sorting,insertion,2,0,0.000005,1
sorting,insertion,2,1,0.000003,1
sorting,insertion,2,2,0.000003,1
sorting,insertion,2,3,0.000002,1
sorting,insertion,2,4,0.000002,1
sorting,insertion,2,5,0.000002,1
sorting,insertion,2,6,0.000002,1
sorting,insertion,2,7,0.000003,1
sorting,insertion,2,8,0.000002,1
sorting,insertion,2,9,0.000002,1
sorting,insertion,2,10,0.000002,1
sorting,insertion,2,11,0.000002,1
sorting,insertion,4,0,0.000003,1
sorting,insertion,4,1,0.000003,1
sorting,insertion,4,2,0.000003,1
sorting,insertion,4,3,0.000003,1
sorting,insertion,4,4,0.000003,1
sorting,insertion,4,5,0.000003,1
sorting,insertion,4,6,0.000003,1
sorting,insertion,4,7,0.000002,1
sorting,insertion,4,8,0.000002,1
sorting,insertion,4,9,0.000002,1
sorting,insertion,4,10,0.000003,1
sorting,insertion,4,11,0.000003,1
sorting,insertion,8,0,0.000007,1
sorting,insertion,8,1,0.000005,1
sorting,insertion,8,2,0.000007,1
sorting,insertion,8,3,0.000003,1
sorting,insertion,8,4,0.000003,1
sorting,insertion,8,5,0.000004,1
sorting,insertion,8,6,0.000003,1
sorting,insertion,8,7,0.000004,1
sorting,insertion,8,8,0.000003,1
sorting,insertion,8,9,0.000004,1
sorting,insertion,8,10,0.000004,1
sorting,insertion,8,11,0.000004,1
sorting,insertion,16,0,0.000020,1
sorting,insertion,16,1,0.000017,1
sorting,insertion,16,2,0.000017,1
sorting,insertion,16,3,0.000005,1
sorting,insertion,16,4,0.000006,1
sorting,insertion,16,5,0.000005,1
sorting,insertion,16,6,0.000005,1
sorting,insertion,16,7,0.000005,1
sorting,insertion,16,8,0.000005,1
sorting,insertion,16,9,0.000005,1
sorting,insertion,16,10,0.000005,1
sorting,insertion,16,11,0.000005,1
sorting,insertion,32,0,0.000055,1
sorting,insertion,32,1,0.000045,1
sorting,insertion,32,2,0.000044,1
sorting,insertion,32,3,0.000008,1
sorting,insertion,32,4,0.000009,1
sorting,insertion,32,5,0.000008,1
sorting,insertion,32,6,0.000008,1
sorting,insertion,32,7,0.000008,1
sorting,insertion,32,8,0.000008,1
sorting,insertion,32,9,0.000008,1
sorting,insertion,32,10,0.000008,1
sorting,insertion,32,11,0.000008,1
sorting,insertion,64,0,0.000196,1
sorting,insertion,64,1,0.000184,1
sorting,insertion,64,2,0.000155,1
sorting,insertion,64,3,0.000128,1
sorting,insertion,64,4,0.000126,1
sorting,insertion,64,5,0.000136,1
sorting,insertion,64,6,0.000014,1
sorting,insertion,64,7,0.000014,1
sorting,insertion,64,8,0.000013,1
sorting,insertion,64,9,0.000014,1
sorting,insertion,64,10,0.000013,1
sorting,insertion,64,11,0.000014,1
sorting,insertion,128,0,0.000680,1
sorting,insertion,128,1,0.000671,1
sorting,insertion,128,2,0.000640,1
sorting,insertion,128,3,0.000585,1
sorting,insertion,128,4,0.000550,1
sorting,insertion,128,5,0.000547,1
sorting,insertion,128,6,0.000047,1
sorting,insertion,128,7,0.000023,1
sorting,insertion,128,8,0.000029,1
sorting,insertion,128,9,0.000023,1
sorting,insertion,128,10,0.000023,1
sorting,insertion,128,11,0.000022,1
sorting,insertion,256,0,0.002816,1
sorting,insertion,256,1,0.002629,1
sorting,insertion,256,2,0.002546,1
sorting,insertion,256,3,0.002192,1
sorting,insertion,256,4,0.002354,1
sorting,insertion,256,5,0.002138,1
sorting,insertion,256,6,0.000046,1
sorting,insertion,256,7,0.000045,1
sorting,insertion,256,8,0.000045,1
sorting,insertion,256,9,0.000045,1
sorting,insertion,256,10,0.000045,1
sorting,insertion,256,11,0.000045,1
sorting,insertion,512,0,0.010326,1
sorting,insertion,512,1,0.010037,1
sorting,insertion,512,2,0.009900,1
sorting,insertion,512,3,0.009686,1
sorting,insertion,512,4,0.009468,1
sorting,insertion,512,5,0.009663,1
sorting,insertion,512,6,0.005375,1
sorting,insertion,512,7,0.004788,1
sorting,insertion,512,8,0.005397,1
sorting,insertion,512,9,0.000088,1
sorting,insertion,512,10,0.000088,1
sorting,insertion,512,11,0.000090,1
sorting,insertion,1024,0,0.039966,1
sorting,insertion,1024,1,0.040623,1
sorting,insertion,1024,2,0.039382,1
sorting,insertion,1024,3,0.039999,1
sorting,insertion,1024,4,0.039043,1
sorting,insertion,1024,5,0.040759,1
sorting,insertion,1024,6,0.029564,1
sorting,insertion,1024,7,0.029358,1
sorting,insertion,1024,8,0.031112,1
sorting,insertion,1024,9,0.000179,1
sorting,insertion,1024,10,0.000189,1
sorting,insertion,1024,11,0.000178,1
sorting,insertion,2048,0,0.158902,1
sorting,insertion,2048,1,0.161228,1
sorting,insertion,2048,2,0.158466,1
sorting,insertion,2048,3,0.159351,1
sorting,insertion,2048,4,0.160649,1
sorting,insertion,2048,5,0.157592,1
sorting,insertion,2048,6,0.138272,1
sorting,insertion,2048,7,0.136230,1
sorting,insertion,2048,8,0.138789,1
sorting,insertion,2048,9,0.000353,1
sorting,insertion,2048,10,0.000357,1
sorting,insertion,2048,11,0.000364,1
sorting,insertion,4096,0,0.623521,1
sorting,insertion,4096,1,0.626759,1
sorting,insertion,4096,2,0.636712,1
sorting,insertion,4096,3,0.622932,1
sorting,insertion,4096,4,0.647877,1
sorting,insertion,4096,5,0.699045,1
sorting,insertion,4096,6,0.588548,1
sorting,insertion,4096,7,0.586448,1
sorting,insertion,4096,8,0.584774,1
sorting,insertion,4096,9,0.319713,1
sorting,insertion,4096,10,0.325321,1
sorting,insertion,4096,11,0.324574,1
sorting,insertion,8192,0,2.559829,1
sorting,insertion,8192,1,2.547855,1
sorting,insertion,8192,2,2.514397,1
sorting,insertion,8192,3,2.532811,1
sorting,insertion,8192,4,2.461941,1
sorting,insertion,8192,5,2.479144,1
sorting,insertion,8192,6,2.409260,1
sorting,insertion,8192,7,2.458252,1
sorting,insertion,8192,8,2.478371,1
sorting,insertion,8192,9,2.004344,1
sorting,insertion,8192,10,1.926493,1
sorting,insertion,8192,11,1.927116,1
sorting,insertion,16384,0,9.841899,1
sorting,insertion,16384,1,10.064932,1
sorting,insertion,16384,2,9.872246,1
sorting,insertion,16384,3,9.868791,1
sorting,insertion,16384,4,10.025926,1
sorting,insertion,16384,5,10.920689,1
sorting,insertion,16384,6,11.081667,1
sorting,insertion,16384,7,10.552023,1
sorting,insertion,16384,8,10.575848,1
sorting,insertion,16384,9,9.077686,1
sorting,insertion,16384,10,8.953380,1
sorting,insertion,16384,11,8.607508,1
